country,latitude,longitude,case
Afghanistan,33.7680065,66.2385139,5
Albania,41.000028,19.9999619,8
Algeria,28.0000272,2.9999825,3
Angola,-11.8775768,17.5691241,2
Argentina,-34.9964963,-64.9672817,16
Armenia,40.7696272,44.6736646,11
Australia,-24.7761086,134.755,48
Austria,47.59397,14.12456,11
Azerbaijan,40.3936294,47.7872508,6
Bahamas,24.7736546,-78.0000547,1
Bangladesh,24.4769288,90.2934413,1
Barbados,13.1500331,-59.5250305,1
Belarus,53.4250605,27.6971358,25
Belgium,50.6402809,4.6667145,20
Belize,17.1204943,-88.6859028,1
Bolivia,-17.0568696,-64.9912286,1
Bosnia and Herzegovina,44.3053476,17.5961467,3
Brazil,-10.3333333,-53.2,51
Brunei,4.4137155,114.5653908,1
Bulgaria,42.6073975,25.4856617,29
Burundi,-3.426449,29.9324519,1
Cameroon,4.6125522,13.1535811,3
Canada,61.0666922,-107.991707,46
Chile,-31.7613365,-71.3187697,6
China,35.000074,104.999927,54
Colombia,4.099917,-72.9088133,9
Costa Rica,10.2735633,-84.0739102,6
Croatia,45.3658443,15.6575209,11
Cuba,23.0131338,-80.8328748,8
Cyprus,34.9823018,33.1451285,4
Czechia,49.7439047,15.3381061,19
Denmark,55.670249,10.3333283,21
Dominican Republic,19.0974031,-70.3028026,17
Ecuador,-1.3397668,-79.3666965,4
Egypt,26.2540493,29.2675469,17
El Salvador,13.8000382,-88.9140683,3
Fiji,-18.1239696,179.0122737,3
Finland,63.2467777,25.9209164,15
France,46.603354,1.8883335,68
Gabon,-0.8999695,11.6899699,1
Georgia,41.6808672,44.0287806,2
Germany,51.1638175,10.4478313,29
Ghana,8.0300284,-1.0800271,1
Greece,38.9953683,21.9877132,33
Guatemala,15.5855545,-90.345759,2
Guyana,4.8417097,-58.6416891,1
Haiti,19.1399952,-72.3570972,1
Honduras,15.2572432,-86.0755145,2
Hungary,47.1817585,19.5060937,10
Iceland,64.9841821,-18.1059013,2
India,22.3511148,78.6677428,38
Iran,32.6475314,54.5643516,17
Iraq,33.0955793,44.1749775,9
Ireland,52.865196,-7.9794599,7
Israel,30.8124247,34.8594762,2
Italy,42.6384261,12.674297,71
C̫te d'Ivoire,7.9897371,-5.5679458,1
Jamaica,18.1850507,-77.3947693,1
Japan,36.5748441,139.2394179,6
Jordan,31.1667049,36.941628,3
Kazakhstan,48.1012954,66.7780818,20
Kenya,1.4419683,38.4313975,2
Kuwait,29.2733964,47.4979476,1
Kyrgyzstan,41.5089324,74.724091,3
Latvia,56.8406494,24.7537645,11
Lebanon,33.8750629,35.843409,1
Libya,26.8234472,18.1236723,5
Lithuania,55.3500003,23.7499997,4
Luxembourg,49.8158683,6.1296751,1
Malaysia,4.5693754,102.2656823,2
Malta,35.8885993,14.4476911,1
Mexico,23.6585116,-102.0077097,11
Moldova,47.2879608,28.5670941,6
Mongolia,46.8250388,103.8499736,3
Morocco,31.1728205,-7.3362482,8
Myanmar,17.1750495,95.9999652,8
Netherlands,52.24764975,5.541246849406163,16
New Zealand,-41.5000831,172.8344077,6
Nicaragua,12.6090157,-85.2936911,1
Nigeria,9.6000359,7.9999721,8
North Korea,40.3736611,127.0870417,4
Norway,61.1529386,8.7876653,11
Pakistan,30.3308401,71.247499,27
Paraguay,-23.3165935,-58.1693445,2
Peru,-6.8699697,-75.0458515,2
Philippines,12.7503486,122.7312101,3
Poland,52.215933,19.134422,21
Portugal,39.6621648,-8.1353519,20
Qatar,25.3336984,51.2295295,2
Romania,45.9852129,24.6859225,15
Russia,64.6863136,97.7453061,98
Samoa,-13.7693895,-172.12005,1
Saudi Arabia,25.6242618,42.3528328,6
Serbia,44.1534121,20.55144,2
Seychelles,-4.6574977,55.4540146,1
Sierra Leone,8.6400349,-11.8400269,1
Singapore,1.357107,103.8194992,2
Slovakia,48.7411522,19.4528646,8
Slovenia,46.1199444,14.8153333,4
South Africa,-28.8166236,24.991639,12
South Korea,36.638392,127.6961188,1
Spain,39.3260685,-4.8379791,34
Sri Lanka,7.5554942,80.7137847,10
Sweden,59.6749712,14.5208584,15
Switzerland,46.7985624,8.2319736,10
Syria,34.6401861,39.0494106,11
Tajikistan,38.6281733,70.8156541,3
Thailand,14.8971921,100.83273,9
Tunisia,33.8439408,9.400138,4
Turkey,38.9597594,34.9249653,15
Turkmenistan,39.3763807,59.3924609,1
Ukraine,49.4871968,31.2718321,23
United Arab Emirates,24.0002488,53.9994829,5
United Kingdom,54.7023545,-3.2765753,60
United States,39.7837304,-100.445882,158
Uruguay,-32.8755548,-56.0201525,1
Uzbekistan,41.32373,63.9528098,9
Venezuela,8.0018709,-66.1109318,10
Vietnam,15.9266657,107.9650855,3
Yemen,16.3471243,47.8915271,4
Zambia,-14.5189121,27.5589884,3
Zimbabwe,-18.4554963,29.7468414,3
